Timestamp,ContainerID,ContainerType,NodeID,SchedulingLatency(ms),Success,ResourceUtilization
2025-05-17T06:51:24Z,container-1747464680550916091,web,node-1747464590418905051,0.041,true,0.033
2025-05-17T06:51:26Z,container-1747464684088407512,cache,node-1747464590392492696,0.036,true,0.028
2025-05-17T06:51:30Z,container-1747464686835583420,compute,node-1747464590418905051,0.016,true,0.170
2025-05-17T06:51:33Z,container-1747464690475554807,web,node-1747464590392492696,0.022,true,0.041
2025-05-17T06:51:35Z,container-1747464693042204602,database,node-1747464590418905051,0.150,true,0.089
2025-05-17T06:51:39Z,container-1747464695718682675,web,node-1747464590392492696,0.053,true,0.030
2025-05-17T06:51:42Z,container-1747464699879543901,cache,node-1747464590418905051,0.021,true,0.039
2025-05-17T06:51:45Z,container-1747464702731436667,service,node-1747464590392492696,0.020,true,0.033
2025-05-17T06:51:47Z,container-1747464705284934069,cache,node-1747464590418905051,0.022,false,0.000
2025-05-17T06:51:49Z,container-1747464707420900570,compute,node-1747464590392492696,0.018,true,0.095
2025-05-17T06:51:53Z,container-1747464709960346780,web,node-1747464590418905051,0.019,true,0.023
2025-05-17T06:51:56Z,container-1747464713321037539,database,node-1747464590392492696,0.022,true,0.065
2025-05-17T06:51:59Z,container-1747464716706182829,service,node-1747464590418905051,0.115,true,0.066
2025-05-17T06:52:02Z,container-1747464719289093335,cache,node-1747464590315639754,0.025,false,0.000
2025-05-17T06:52:33Z,container-1747464722023323185,cache,node-1747464590315639754,0.020,false,0.000
2025-05-17T06:52:36Z,container-1747464753567242575,search,node-1747464590392492696,0.074,false,0.000
2025-05-17T06:52:40Z,container-1747464756393249745,web,node-1747464590392492696,0.100,true,0.031
2025-05-17T06:52:43Z,container-1747464760636893236,web,node-1747464590418905051,0.067,true,0.024
2025-05-17T06:52:46Z,container-1747464763638721772,web,node-1747464590392492696,0.025,false,0.000
2025-05-17T06:52:49Z,container-1747464766471742175,search,node-1747464590418905051,0.017,false,-0.000
2025-05-17T06:52:52Z,container-1747464769602513377,service,node-1747464590418905051,0.013,true,0.038
2025-05-17T06:52:55Z,container-1747464772342306752,web,node-1747464590392492696,0.019,false,0.000
2025-05-17T06:52:58Z,container-1747464775633083502,service,node-1747464590418905051,0.023,true,0.022
2025-05-17T06:53:00Z,container-1747464778737702855,cache,node-1747464590392492696,0.020,false,0.000
2025-05-17T06:53:03Z,container-1747464780937075062,web,node-1747464590418905051,0.023,true,0.020
2025-05-17T06:53:06Z,container-1747464783661857026,batch,node-1747464590392492696,0.029,true,0.058
2025-05-17T06:53:08Z,container-1747464786360674192,cache,node-1747464590418905051,0.023,true,0.038
2025-05-17T06:53:12Z,container-1747464788957023320,batch,node-1747464590392492696,0.016,true,0.099
2025-05-17T06:53:14Z,container-1747464792170161018,database,node-1747464590418905051,0.025,true,0.070
2025-05-17T06:53:17Z,container-1747464794819572668,search,node-1747464590392492696,0.023,true,0.068
2025-05-17T06:53:20Z,container-1747464797479773689,web,node-1747464590418905051,0.119,true,0.041
2025-05-17T06:53:23Z,container-1747464800079186159,compute,node-1747464590392492696,0.025,true,0.082
2025-05-17T06:53:26Z,container-1747464803040890594,batch,node-1747464590418905051,0.013,true,0.113
2025-05-17T06:53:30Z,container-1747464806757983463,batch,node-1747464590392492696,0.027,false,0.000
2025-05-17T06:53:32Z,container-1747464810978413499,service,node-1747464590418905051,0.171,false,0.000
2025-05-17T06:53:33Z,container-1747464812923320702,database,node-1747464590418905051,0.033,false,0.000
2025-05-17T06:53:33Z,container-1747464813297725056,cache,node-1747464590418905051,0.020,false,0.000
